TERM,HS_GPA,ACT_ENGL,ACT_MATH,ACT_READING,ACT_SCIENCE,ACT_COMP,COUNTY_CODE_ORIG,COUNTY_ORIG,STAT_ORIG,COLLEGE,DEGREE,MAJOR,FERRIS_GPA,RETAINED
2012,2.85,21,20,24,24,22,MI077,Kalamazoo,MI,ED,BS,TDMP,2.5,0
2012,2.94,22,17,24,23,22,MI111,Midland,MI,ED,AA,PCRJ,2.51,1
2012,2.335,18,21,21,19,20,MI081,Kent,MI,KE,BFA,IL,4,1
2012,3.034,27,18,26,21,23,MI077,Kalamazoo,MI,KE,BFA,GD,2.85,0
2012,3.501,19,23,21,23,22,MI145,Saginaw,MI,HP,AAS,PRAD,3,1
2012,3.021,15,15,21,16,16,MI121,Muskegon,MI,KE,BFA,FS,2.13,1
2012,2.7,14,15,16,20,16,MI163,Wayne,MI,HP,AAS,AHS,0.14,0
2012,3.14,21,21,17,17,19,MI091,Lenawee,MI,KE,BFA,ID,3.31,0
2012,3.36,18,16,23,18,19,MI163,Wayne,MI,UN,AA,GNST,3.51,1
2012,3.33,22,19,20,20,20,MI163,Wayne,MI,ED,AA,PCRJ,3.38,1
2012,3.189,15,17,17,19,17,MI005,Allegan,MI,HP,AAS,AHS,3.21,1
2012,3.194,20,19,20,21,20,MI021,Berrien,MI,UN,AA,CARE,3.93,1
2012,3.6,22,20,24,22,22,MI081,Kent,MI,HP,AAS,PRAD,3.47,1
2012,3.42,13,20,15,20,17,MI125,Oakland,MI,UN,AA,GNST,3.61,0
2012,2.572,20,19,17,20,19,MI133,Osceola,MI,HP,BS,PNUR,0.52,0
2012,2.796,16,17,19,21,18,MI023,Branch,MI,HP,AAS,PDH,0.89,0
2012,2.5,21,27,25,23,24,MI077,Kalamazoo,MI,TE,BS,CNS,1.85,0
2012,2.92,15,21,11,19,17,MI117,Montcalm,MI,ED,AA,PCRJ,3.84,0
2012,2.71,20,16,19,25,20,MI165,Wexford,MI,ED,BS,ELED,0.7,0
2012,3.78,24,28,19,25,24,MI165,Wexford,MI,TE,BS,SURE,3.94,1
2012,2.55,18,17,17,16,17,MI125,Oakland,MI,ED,AA,PTEL,2.03,0
2012,2.97,14,16,16,17,16,MI163,Wayne,MI,UN,AA,GNST,3.05,1
2012,3.56,26,22,20,23,23,MI097,Mackinac,MI,BU,AAS,GNBU,3.7,1
2012,3.8,28,26,27,26,27,MI065,Ingham,MI,TE,AAS,PPET,3.81,1
2012,3.51,16,16,24,19,19,MI123,Newaygo,MI,UN,AA,CARE,3.94,0
2012,2.636,18,19,14,18,17,MI101,Manistee,MI,KE,BFA,AE,3.7,1
2012,2.618,13,18,15,19,16,MI067,Ionia,MI,UN,AA,GNST,2.26,0
2012,2.21,18,16,17,18,17,MI163,Wayne,MI,ED,AA,PCRJ,2.26,1
2012,3.36,20,21,18,23,21,MI163,Wayne,MI,AS,AS,PSCI,0.64,0
2012,3.717,31,25,33,30,30,MI075,Jackson,MI,KE,BFA,GD,3.25,1
2012,2.57,25,20,16,22,21,MI077,Kalamazoo,MI,HP,AAS,PDH,3.67,1
2012,3.271,20,23,23,21,22,MI115,Monroe,MI,BU,BS,MIM,3.12,0
2012,3.1,17,18,16,20,18,MI001,Alcona,MI,ED,AA,PCRJ,3.94,0
2012,3.16,20,16,20,19,19,MI081,Kent,MI,HP,AAS,AHS,3.29,1
2012,2.645,15,16,19,17,17,MI163,Wayne,MI,UN,AA,GNST,1.29,0
2012,3.85,16,22,16,18,18,MI065,Ingham,MI,BU,AAS,PBUS,4,1
2012,3.26,21,19,19,20,20,MI075,Jackson,MI,HP,AAS,PDH,3.24,0
2012,2.79,19,16,20,21,19,MI077,Kalamazoo,MI,ED,AA,PCRJ,2.33,0
2012,3.402,27,25,26,22,24,MI081,Kent,MI,BU,BS,BUAD,3.88,0
2012,2.537,11,16,17,16,15,MI093,Livingston,MI,TE,AAS,HEQT,2.89,1
2012,3.25,20,23,19,22,21,MI111,Midland,MI,UN,AA,CARE,3.22,1
2012,3.33,24,26,17,24,23,MI125,Oakland,MI,BU,BS,MIM,2.72,1
2012,2.696,20,21,22,24,21,MI099,Macomb,MI,ED,AA,PCRJ,3.32,1
2012,2.67,17,16,14,19,17,MI099,Macomb,MI,BU,AAS,PPTM,3.51,1
2012,3.772,21,25,23,23,23,MI013,Baraga,MI,AS,AS,PPHR,3.2,1
2012,3.768,18,26,20,23,22,MI055,Grand Traverse,MI,BU,AAS,ACCT,3.54,1
2012,3.24,19,24,24,20,22,MI145,Saginaw,MI,TE,AAS,HEQT,3.75,1
2012,NA,15,16,15,19,16,MI155,Shiawassee,MI,ED,BS,HISE,3,0
2012,3.716,26,22,22,24,23,MI129,Ogemaw,MI,HP,AAS,PDMS,2.93,1
2012,2.724,22,27,19,19,22,MI099,Macomb,MI,BU,BS,MIM,3.26,1
2012,2.584,10,15,14,16,14,MI163,Wayne,MI,UN,AA,GNST,1.86,1
2012,3.417,19,18,21,23,19,MI161,Washtenaw,MI,KE,BFA,GD,3.84,1
2012,3.69,29,23,27,23,26,MI081,Kent,MI,AS,AS,PPHR,3.56,1
2012,3.047,21,22,22,20,20,MI091,Lenawee,MI,KE,BFA,PH,3.24,0
2012,2.6,12,17,12,18,15,MI059,Hillsdale,MI,ED,BS,ELED,2.59,0
2012,3.151,21,19,17,23,20,MI091,Lenawee,MI,HP,BS,PNUR,2.85,0
2012,3.679,21,19,20,20,20,MI133,Osceola,MI,HP,BS,PNUR,3.44,1
2012,2.4,20,16,23,13,18,MI139,Ottawa,MI,UN,AA,GNST,0,0
2012,2.6,15,21,17,22,19,MI163,Wayne,MI,UN,AA,GNST,2.85,0
2012,2.843,12,14,16,20,15,MI049,Genesee,MI,UN,AA,GNST,3.78,0
2012,2.347,15,23,18,20,19,MI045,Eaton,MI,BU,AAS,RFIM,0.46,0
2012,2.3,25,25,32,33,28,MI125,Oakland,MI,UN,AA,CARE,2.25,0
2012,2.954,16,16,20,18,18,MI145,Saginaw,MI,ED,AA,PCRJ,2.5,0
2012,3.06,23,24,23,19,22,MI163,Wayne,MI,AS,AA,PLAW,3.15,1
2012,2.877,13,17,12,19,15,MI139,Ottawa,MI,KE,BFA,PH,2.94,1
2012,2.473,20,21,14,20,19,MI067,Ionia,MI,BU,BS,PGM,0,0
2012,3.12,17,21,13,23,19,MI073,Isabella,MI,BU,AAS,GRDE,2.52,1
2012,3.01,19,21,21,21,21,MI123,Newaygo,MI,ED,AA,PCRJ,2.2,1
2012,2.89,16,18,18,19,18,MI065,Ingham,MI,BU,AAS,PBUS,3.08,1
2012,2.303,19,20,16,18,18,MI117,Montcalm,MI,BU,AAS,PBUS,1.52,0
2012,3.47,25,23,24,25,24,MI081,Kent,MI,HP,BS,PNUR,2.45,1
2012,3.34,12,19,15,20,17,MI049,Genesee,MI,ED,BS,ELED,1.99,0
2012,2.863,18,18,19,19,18,MI097,Mackinac,MI,HP,AAS,PRAD,1.2,0
2012,2.62,16,15,20,19,16,MI081,Kent,MI,UN,AA,GNST,3.55,1
2012,3.866,28,26,30,27,28,MI147,St. Clair,MI,BU,BS,HOTR,3.72,1
2012,3.25,21,17,22,18,19,MI087,Lapeer,MI,AS,AS,PSCI,1.58,0
2012,3.62,24,24,23,26,24,MI125,Oakland,MI,BU,BS,MIM,3.12,1
2012,3.53,26,25,27,25,26,MI123,Newaygo,MI,ED,AA,PTSC,2.99,1
2012,3.63,22,20,21,18,20,MI123,Newaygo,MI,ED,BS,ELED,3.93,0
2012,3.019,22,18,26,19,21,MI017,Bay,MI,HP,AAS,AHS,1.46,0
2012,3.3,15,21,17,18,18,MI123,Newaygo,MI,HP,BS,PNM,3.28,1
2012,2.3,17,15,16,15,16,MI163,Wayne,MI,ED,AA,PTEL,2.57,1
2012,3.11,15,18,21,20,19,MI123,Newaygo,MI,HP,AAS,AHS,3.4,1
2012,3.729,20,22,17,23,21,MI117,Montcalm,MI,AS,BS,BIOT,0.19,0
2012,4.019,23,24,24,21,23,MI157,Tuscola,MI,AS,AS,PPHR,2.96,1
2012,2.324,20,19,20,20,20,MI081,Kent,MI,UN,AA,GNST,2.53,0
2012,3.21,18,15,18,16,17,MI081,Kent,MI,UN,AA,GNST,0.66,0
2012,3.188,21,17,18,19,19,MI065,Ingham,MI,BU,BS,PPGM,3.31,1
2012,3.405,17,19,21,21,19,MI055,Grand Traverse,MI,ED,AA,PCRJ,2.72,1
2012,3.04,17,21,14,24,19,MI105,Mason,MI,TE,BS,CMBT,2.77,1
2012,3.014,19,24,18,24,21,MI093,Livingston,MI,KE,BFA,ID,3.01,1
2012,3.124,24,23,25,23,23,MI081,Kent,MI,AS,AS,PPHR,2.19,1
2012,2.55,20,22,22,19,21,MI125,Oakland,MI,BU,AAS,GNBU,2.5,1
2012,2.77,18,24,18,23,20,MI093,Livingston,MI,KE,BFA,PH,3.38,1
2012,2.641,17,22,17,21,19,MI063,Huron,MI,TE,BS,AET,3.06,1
2012,2.47,18,16,22,22,20,MI099,Macomb,MI,ED,AA,PCRJ,2.09,0
2012,2.757,16,16,16,17,16,MI163,Wayne,MI,UN,AA,GNST,2.62,1
2012,3.43,19,21,13,22,19,MI065,Ingham,MI,BU,BS,BUAD,3.38,1
2012,3.4,20,20,23,24,21,MI139,Ottawa,MI,HP,BS,PNUR,3.25,1
2012,3.19,22,26,22,23,23,MI093,Livingston,MI,AS,AS,PPHR,3.27,1
2012,2.934,14,17,17,20,17,MI123,Newaygo,MI,HP,AAS,PMLT,2.95,1
2012,3.24,22,20,15,19,19,MI145,Saginaw,MI,HP,AAS,PDH,2.46,0
2012,2.66,21,16,26,24,22,MI049,Genesee,MI,KE,BFA,PH,3.19,1
2012,3.895,30,28,30,27,28,MI081,Kent,MI,KE,BFA,FS,3.51,0
2012,3.031,25,27,26,26,26,MI125,Oakland,MI,KE,BFA,IN,3.79,1
2012,2.68,26,24,21,24,24,MI123,Newaygo,MI,BU,AAS,DFSM,3.06,1
2012,2.85,15,23,20,21,20,MI139,Ottawa,MI,TE,AAS,MECH,1.61,0
2012,2.872,21,24,21,23,21,MI125,Oakland,MI,AS,AS,PPHR,2.29,1
2012,3.39,20,20,19,19,19,MI025,Calhoun,MI,BU,BS,ACPA,2.59,1
2012,3.597,19,25,24,22,22,MI103,Marquette,MI,HP,AAS,AHS,3.26,1
2012,3.26,19,25,15,24,21,MI081,Kent,MI,BU,BS,PGM,2.5,1
2012,3.87,19,19,16,20,19,MI025,Calhoun,MI,TE,BS,AET,3.32,1
2012,3.047,12,21,11,20,16,MI117,Montcalm,MI,ED,AA,PCRJ,3.76,0
2012,2.43,12,15,18,18,16,MI163,Wayne,MI,UN,AA,UNCP,2.52,0
2012,2.85,18,18,21,18,19,MI107,Mecosta,MI,UN,AA,CARE,2.21,1
2012,3.93,21,27,23,25,24,MI031,Cheboygan,MI,TE,AAS,AUSV,3.93,1
2012,3.585,24,20,25,20,22,MI081,Kent,MI,AS,BS,BIBS,1.99,0
2012,3.781,23,17,20,19,20,MI077,Kalamazoo,MI,KE,BFA,PH,2.64,1
2012,3.03,21,21,22,25,22,MI135,Oscoda,MI,HP,BS,PNM,3.57,1
2012,3.358,22,16,22,18,20,MI081,Kent,MI,AS,AS,PSCI,1.32,0
2012,3.714,25,25,24,23,24,MI077,Kalamazoo,MI,KE,BFA,UN,3.93,1
2012,NA,25,24,20,23,23,MI081,Kent,MI,BU,BS,MIM,3,1
2012,3.96,30,28,29,31,29,MI121,Muskegon,MI,AS,AS,PPHR,3.66,1
2012,3.98,22,26,23,26,24,MI065,Ingham,MI,BU,BB,BUAD,4,1
2012,2.73,21,18,25,21,21,MI123,Newaygo,MI,HP,AAS,AHS,0,0
2012,3.53,24,23,23,24,24,MI123,Newaygo,MI,HP,BS,PNUR,3.35,1
2012,3.75,25,24,27,24,25,MI081,Kent,MI,BU,AAS,GNBU,1.6,1
2012,3.541,22,18,25,21,22,MI099,Macomb,MI,AS,AS,PSCI,2.49,1
2012,3.1,20,20,22,18,20,MI125,Oakland,MI,TE,BS,AMGT,2.8,1
2012,3.582,20,16,23,19,20,MI125,Oakland,MI,HP,AAS,PDH,3.33,1
2012,4.03,26,25,23,22,24,MI099,Macomb,MI,AS,AS,PPHR,3.25,1
2012,3.15,17,22,19,21,20,MI113,Missaukee,MI,HP,AAS,PDH,2.23,0
2012,3.65,27,25,27,31,28,MI099,Macomb,MI,TE,AAS,AUSV,2.81,1
2012,2.87,20,20,24,22,22,MI125,Oakland,MI,BU,BS,BUAD,3.22,1
2012,3.56,17,22,20,21,20,MI145,Saginaw,MI,HP,BS,PNUR,2.52,1
2012,3.62,23,24,28,24,25,MI099,Macomb,MI,AS,AS,PPHR,3.27,1
2012,3.179,24,19,25,24,23,MI111,Midland,MI,KE,BFA,ID,3.38,1
2012,3.827,24,21,20,23,22,MI133,Osceola,MI,BU,AAS,GRDE,3.26,1
2012,2.723,21,18,19,19,19,MI139,Ottawa,MI,TE,AAS,PBCT,3.49,1
2012,3.767,24,28,29,27,27,MI081,Kent,MI,HP,BS,PMT,3.43,1
2012,2.77,18,20,23,25,22,MI007,Alpena,MI,AS,AS,PPHR,2.46,1
2012,3.66,22,18,23,21,21,MI127,Oceana,MI,HP,BS,PNUR,2.98,1
2012,3.945,29,33,31,30,31,MI081,Kent,MI,TE,AAS,PPET,3.04,0
2012,3.733,27,24,23,24,24,MI081,Kent,MI,HP,BS,PNUR,3.45,1
2012,3.166,19,18,23,18,20,MI107,Mecosta,MI,ED,BS,TDMP,3.94,1
2012,2.89,17,15,17,20,17,MI163,Wayne,MI,ED,AA,PCRJ,0.35,0
2012,2.45,21,23,25,24,23,MI125,Oakland,MI,HP,AAS,AHS,1.16,0
2012,2.959,26,17,28,21,23,MI021,Berrien,MI,AS,AA,PTC,3.64,1
2012,2.57,16,16,18,16,17,MI143,Roscommon,MI,UN,AA,CARE,3.24,1
2012,3.32,20,15,19,18,18,MI151,Sanilac,MI,KE,BFA,PH,3.72,1
2012,3,19,22,18,15,19,MI081,Kent,MI,UN,AA,CARE,1.96,0
2012,2.89,15,16,17,22,18,MI049,Genesee,MI,BU,AAS,PMIM,0.16,0
2012,2.78,19,15,18,16,17,MI049,Genesee,MI,KE,BFA,PH,2.41,1
2012,3.73,21,22,21,22,22,MI133,Osceola,MI,AS,BS,PSYC,3.65,1
2012,3.988,23,27,24,28,26,MI121,Muskegon,MI,AS,AS,PPHR,3.93,1
2012,2.569,16,18,18,22,19,MI047,Emmet,MI,ED,AA,PCRJ,2.74,1
2012,2.8,17,18,20,17,18,MI081,Kent,MI,TE,AAS,HEQT,3.34,1
2012,2.76,22,19,19,22,20,MI081,Kent,MI,TE,AAS,PPET,2.84,1
2012,2.613,21,24,14,19,20,MI099,Macomb,MI,TE,BS,AET,2.6,0
2012,3.327,19,17,13,18,17,MI139,Ottawa,MI,KE,BFA,GD,3.7,1
2012,2.18,19,15,17,20,18,MI163,Wayne,MI,UN,AA,GNST,2.16,0
2012,2.71,15,22,23,19,20,MI081,Kent,MI,KE,BFA,GD,3.7,1
2012,2.8,20,17,29,24,23,MI139,Ottawa,MI,KE,BFA,IL,3.01,1
2012,3.236,13,16,15,20,16,MI055,Grand Traverse,MI,KE,BFA,GD,3.31,1
2012,3.757,24,26,29,27,27,MI081,Kent,MI,AS,BS,BIPM,3.58,0
2012,3.253,17,14,22,17,18,MI081,Kent,MI,UN,AA,GNST,2.58,1
2012,3.81,33,27,31,30,30,MI037,Clinton,MI,TE,AAS,WELT,0,0
2012,2.94,22,19,19,25,21,MI125,Oakland,MI,AS,BS,BIPD,1.45,0
2012,2.466,17,17,18,17,17,MI145,Saginaw,MI,UN,AA,GNST,2.2,1
2012,3.055,21,18,20,24,21,MI163,Wayne,MI,BU,BS,BUAD,2.62,1
2012,3.091,17,21,18,21,19,MI157,Tuscola,MI,UN,AA,CARE,3.93,1
2012,3.4,31,25,31,23,28,MI005,Allegan,MI,UN,AA,CARE,3.36,1
2012,3.7,20,25,19,18,21,MI159,Van Buren,MI,BU,BS,PTM,3.26,1
2012,2.54,12,19,16,21,17,MI093,Livingston,MI,BU,AS,PMKT,2.86,1
2012,3.671,15,16,17,19,17,MI163,Wayne,MI,ED,AA,PCRJ,3.28,1
2012,2.56,21,23,22,22,22,MI125,Oakland,MI,AS,AS,PSCI,2.98,1
2012,2.48,21,17,26,18,21,MI161,Washtenaw,MI,UN,AA,GNST,4,1
2012,2.82,14,15,17,18,15,MI025,Calhoun,MI,UN,AA,GNST,1.86,0
2012,3.22,13,17,16,13,15,MI081,Kent,MI,UN,AA,CARE,3.49,0
2012,3.57,28,27,29,29,28,MI025,Calhoun,MI,TE,BS,CNS,2.51,1
2012,2.69,16,18,17,24,19,MI163,Wayne,MI,ED,AA,PCRJ,2.41,1
2012,2.3,16,17,17,23,18,MI155,Shiawassee,MI,ED,AA,PCRJ,3.09,1
2012,2.7,18,19,23,24,21,MI139,Ottawa,MI,ED,AA,PCRJ,1.71,0
2012,3.55,20,21,21,25,22,MI099,Macomb,MI,TE,AAS,MFGT,3.56,1
2012,2.81,20,24,16,18,20,MI121,Muskegon,MI,HP,AAS,AHS,2.5,1
2012,3.07,14,19,15,18,17,MI077,Kalamazoo,MI,HP,BS,PNUR,3.44,0
2012,2.561,29,24,23,23,25,MI093,Livingston,MI,BU,AAS,GRDE,0.85,0
2012,2.65,21,19,21,23,21,MI077,Kalamazoo,MI,BU,BS,REMG,1.41,1
2012,3.48,27,27,28,26,27,MI151,Sanilac,MI,AS,AS,PPHR,3.38,0
2012,3.049,25,20,22,20,22,MI121,Muskegon,MI,BU,AAS,GNBU,3.4,0
2012,2.27,21,18,24,24,22,MI139,Ottawa,MI,UN,AA,GNST,2.54,0
2012,2.695,19,22,20,20,20,MI033,Chippewa,MI,HP,AAS,PRAD,1.34,0
2012,3.744,27,23,29,27,27,MI099,Macomb,MI,HP,AAS,PDMS,4,1
2012,2.675,18,15,17,16,17,MI049,Genesee,MI,HP,AAS,PRSP,1.44,0
2012,2.82,18,21,17,20,19,MI123,Newaygo,MI,TE,AAS,AUSV,1.63,0
2012,3.348,19,19,19,22,20,MI073,Isabella,MI,HP,BS,PNUR,3.2,1
2012,3.153,24,18,22,21,21,MI093,Livingston,MI,KE,BFA,GD,3.31,1
2012,3.716,20,22,20,21,21,MI159,Van Buren,MI,TE,AAS,BCTM,3.85,1
2012,2.569,14,17,18,20,17,MI145,Saginaw,MI,KE,BFA,IL,3.01,0
2012,3.372,18,21,18,23,20,MI033,Chippewa,MI,TE,AAS,MFGT,3.55,1
2012,3.1,20,23,29,24,24,MI055,Grand Traverse,MI,AS,AS,PPHR,2.4,1
2012,2.58,21,23,21,19,21,MI049,Genesee,MI,ED,AA,PCRJ,1.75,0
2012,3.159,16,21,21,23,20,MI081,Kent,MI,AS,AS,PPHR,1.92,1
2012,2.99,22,23,17,19,20,MI115,Monroe,MI,KE,BFA,DM,2.55,1
2012,3.132,25,25,28,29,27,MI161,Washtenaw,MI,AS,AS,PPHR,3.38,1
2012,2.844,15,15,16,18,16,MI049,Genesee,MI,UN,AA,GNST,0.91,0
2012,2.934,16,17,19,21,18,MI077,Kalamazoo,MI,UN,AA,CARE,3.61,1
2012,3.8,35,36,36,31,32,MI105,Mason,MI,UN,AA,CARE,3.94,0
2012,3.7,20,23,19,26,22,MI025,Calhoun,MI,ED,AA,PCRJ,3.85,0
2012,2.694,24,20,30,26,25,MI125,Oakland,MI,KE,BFA,PH,3.15,1
2012,3.97,32,33,33,35,33,MI121,Muskegon,MI,AS,AS,PPHR,3.61,1
2012,2.68,18,16,18,18,17,MI081,Kent,MI,UN,AA,GNST,3.03,1
2012,2.66,18,23,17,23,20,MI081,Kent,MI,TE,AAS,HEQT,2.48,1
2012,3.14,20,20,22,23,20,MI111,Midland,MI,HP,AAS,AHS,0.43,0
2012,2.4,15,16,14,17,16,MI125,Oakland,MI,UN,AA,UNCP,3.61,1
2012,3.342,19,28,19,25,23,MI039,Crawford,MI,UN,AA,CARE,3.86,1
2012,2.085,27,16,19,21,21,MI125,Oakland,MI,KE,BFA,IL,3.38,1
2012,3.041,13,17,15,18,16,MI163,Wayne,MI,BU,AAS,PBUS,3.15,1
2012,3.516,22,27,27,26,26,MI025,Calhoun,MI,AS,BS,PLSC,3.68,1
2012,2.756,17,16,17,20,18,MI139,Ottawa,MI,HP,AAS,AHS,2.9,1
